circuitId,name,duration
1,Australian Grand Prix,23.778720430107526
2,Malaysian Grand Prix,25.46353619302949
3,Bahrain Grand Prix,25.15088655462185
3,Sakhir Grand Prix,26.21123076923077
4,Spanish Grand Prix,22.25552641509434
5,Turkish Grand Prix,23.541848739495798
6,Monaco Grand Prix,26.56976689189189
7,Canadian Grand Prix,23.96884516129032
9,70th Anniversary Grand Prix,28.73378048780488
9,British Grand Prix,28.68250131233596
10,German Grand Prix,20.650318493150685
11,Hungarian Grand Prix,22.55750936329588
12,European Grand Prix,21.969491228070176
13,Belgian Grand Prix,23.494402173913045
14,Italian Grand Prix,25.04206439393939
15,Singapore Grand Prix,30.299873150105707
17,Chinese Grand Prix,22.68835117773019
18,Brazilian Grand Prix,23.158025000000002
20,Eifel Grand Prix,23.46878787878788
20,German Grand Prix,21.521447619047617
21,Emilia Romagna Grand Prix,33.93446875
22,Japanese Grand Prix,23.704728
24,Abu Dhabi Grand Prix,22.38856074766355
32,Mexican Grand Prix,23.456875
34,French Grand Prix,29.467846153846153
35,Korean Grand Prix,22.436956834532374
39,Dutch Grand Prix,20.395931034482757
68,Indian Grand Prix,23.94470588235294
69,United States Grand Prix,25.26427413127413
70,Austrian Grand Prix,21.989126394052043
70,Styrian Grand Prix,23.373622222222224
71,Russian Grand Prix,31.273312101910825
73,Azerbaijan Grand Prix,20.926554054054055
73,European Grand Prix,21.62890909090909
75,Portuguese Grand Prix,25.186317647058825
76,Tuscan Grand Prix,22.284975609756096
